PRIMARY_TAG,Date,Well,OilDay,Injgas,AnnulusA,AnnulusB,WHP,WaterDay,Choke,TotLiq
161,2015-01-21 00:00:00,D,31,19483.23328,75.43197381,103.036453,32.74798611,45,8,76
162,2015-01-21 00:00:00,F,29,16522.07459,86.82978847,87.68763505,36.32833333,37,8,66
163,2015-01-21 00:00:00,G,74,25555.2696,75.14399909,72.49227945,27.70284722,67,8,141
164,2015-01-21 00:00:00,H,83,19968.07569,76.32671199,78.54564642,28.37305556,40,8,123
165,2015-01-22 00:00:00,A,68,5981.315706,67.85627434,73.63956312,29.39541139,0,8,68
166,2015-01-22 00:00:00,B,65,13441.2616,76.80391579,83.68780279,29.41068038,13,8,78
167,2015-01-22 00:00:00,C,31,14959.39385,77.3128958,79.98308365,33.2414557,35,8,66
168,2015-01-22 00:00:00,D,31,19541.18631,76.07193744,104.1283628,32.67523734,45,8,76
169,2015-01-22 00:00:00,F,29,16455.08848,87.59100865,87.59399358,36.53235759,37,8,66
170,2015-01-22 00:00:00,G,74,25497.69653,75.42358804,72.23292966,28.1119462,67,8,141
171,2015-01-22 00:00:00,H,83,19978.96681,76.21522074,78.06592456,28.17341772,40,8,123
172,2015-01-23 00:00:00,A,68,5900.657446,67.48807465,74.6713224,28.52743056,0,8,68
173,2015-01-23 00:00:00,B,65,13423.96065,76.13118828,83.07553519,28.06986111,13,8,78
174,2015-01-23 00:00:00,C,31,14989.55705,77.84679678,76.51569851,32.60805556,35,8,66
175,2015-01-23 00:00:00,D,31,19519.41607,76.16439739,101.9254606,32.09090278,45,8,76
176,2015-01-23 00:00:00,F,29,16468.12634,86.63288258,87.86566621,35.73597222,37,8,66
177,2015-01-23 00:00:00,G,74,25533.99373,75.44033249,71.27218283,26.46673611,67,8,141
178,2015-01-23 00:00:00,H,83,20052.79595,76.92787792,78.72273806,28.37722222,40,8,123
179,2015-01-24 00:00:00,A,68,5891.787378,67.42586732,74.69305185,28.54574022,0,8,68
180,2015-01-24 00:00:00,B,65,13387.0729,75.82691739,84.36096955,28.11236034,13,8,78
181,2015-01-24 00:00:00,C,31,14996.81172,77.82171259,75.46462574,32.36920391,35,8,66
182,2015-01-24 00:00:00,D,31,19461.5111,75.59003303,100.9377044,32.06277933,45,8,76
183,2015-01-24 00:00:00,F,29,16493.12837,86.56394513,86.71053977,35.73610335,37,8,66
184,2015-01-24 00:00:00,G,74,25494.94497,74.9849647,72.34979665,27.34322626,67,8,141
185,2015-01-24 00:00:00,H,83,19986.3055,76.13832364,77.20692072,28.31976257,40,8,123
186,2015-01-25 00:00:00,A,66,5910.445176,67.48663531,73.80478267,28.4979021,0,8,66
